frame_name;actor;gender;p1;p2;p3;p4
BlackSwan-10487.jpeg;Natalie_Portman;F;67;440;196;311
BlackSwan-109987.jpeg;Natalie_Portman;F;81;408;236;253
BlackSwan-110677.jpeg;Natalie_Portman;F;0;442;150;287
BlackSwan-110790.jpeg;Natalie_Portman;F;17;352;60;309
BlackSwan-111512.jpeg;Vincent_Cassel;M;36;386;222;201
BlackSwan-111849.jpeg;Vincent_Cassel;M;36;324;222;139
BlackSwan-15686.jpeg;Vincent_Cassel;M;56;573;146;484
BlackSwan-15868.jpeg;Mila_Kunis;F;53;440;182;311
BlackSwan-25522.jpeg;Natalie_Portman;F;47;425;202;270
BlackSwan-41732.jpeg;Natalie_Portman;F;30;408;184;253
BlackSwan-60480.jpeg;Vincent_Cassel;M;57;345;242;159
BlackSwan-60806.jpeg;Vincent_Cassel;M;19;340;242;117
BlackSwan-61065.jpeg;Natalie_Portman;F;64;408;219;253
BlackSwan-61162.jpeg;Natalie_Portman;F;47;373;202;218
BlackSwan-6707.jpeg;Barbara_Hershey;F;24;368;153;239
BlackSwan-81640.jpeg;Barbara_Hershey;F;47;408;202;253
BlackSwan-90574.jpeg;Natalie_Portman;F;15;345;201;159
BlackSwan-91402.jpeg;Natalie_Portman;F;15;489;201;304
BlackSwan-92205.jpeg;Natalie_Portman;F;19;489;242;266
BlackSwan-92338.jpeg;Natalie_Portman;F;43;439;266;216
BlackSwan-9341.jpeg;Natalie_Portman;F;186;145;266;56
CrazyStupidLove-118251.jpeg;Lio_Tipton;F;53;382;182;253
CrazyStupidLove-137251.jpeg;Steve_Carell;M;77;675;263;489
CrazyStupidLove-141251.jpeg;Steve_Carell;M;81;614;236;459
CrazyStupidLove-153001.jpeg;Lio_Tipton;F;81;545;236;390
CrazyStupidLove-158751.jpeg;Lio_Tipton;F;81;511;236;356
CrazyStupidLove-162751.jpeg;Steve_Carell;M;39;540;168;411
CrazyStupidLove-164751.jpeg;Lio_Tipton;F;44;605;152;497
CrazyStupidLove-39501.jpeg;Steve_Carell;M;47;322;202;167
CrazyStupidLove-72251.jpeg;Lio_Tipton;F;64;390;219;236
CrazyStupidLove-85501.jpeg;Steve_Carell;M;82;425;211;296
CrazyStupidLove-85751.jpeg;Steve_Carell;M;82;411;211;282
CrazyStupidLove-90751.jpeg;Steve_Carell;M;82;669;211;540
CrazyStupidLove-91251.jpeg;Steve_Carell;M;82;626;211;497
DeadpoolWolverine-114420.jpeg;Hugh_Jackman;M;98;442;253;287
DeadpoolWolverine-121672.jpeg;Hugh_Jackman;M;0;669;313;348
DeadpoolWolverine-122365.jpeg;Emma_Corrin;F;0;669;313;348
DeadpoolWolverine-123176.jpeg;Emma_Corrin;F;23;587;290;319
DeadpoolWolverine-123652.jpeg;Hugh_Jackman;M;98;408;253;253
DeadpoolWolverine-124094.jpeg;Hugh_Jackman;M;116;442;270;287
DeadpoolWolverine-125088.jpeg;Hugh_Jackman;M;96;339;225;210
DeadpoolWolverine-125716.jpeg;Hugh_Jackman;M;81;442;236;287
DeadpoolWolverine-126311.jpeg;Hugh_Jackman;M;82;411;211;282
DeadpoolWolverine-133031.jpeg;Matthew_Macfadyen;M;47;511;121;436
DeadpoolWolverine-133669.jpeg;Emma_Corrin;F;182;755;311;626
DeadpoolWolverine-134249.jpeg;Emma_Corrin;F;57;386;242;201
DeadpoolWolverine-139975.jpeg;Ryan_Reynolds;M;67;440;196;311
DeadpoolWolverine-140092.jpeg;Ryan_Reynolds;M;78;233;130;181
DeadpoolWolverine-141464.jpeg;Ryan_Reynolds;M;68;557;175;450
DeadpoolWolverine-141752.jpeg;Ryan_Reynolds;M;36;531;222;345
DeadpoolWolverine-168182.jpeg;Hugh_Jackman;M;82;354;211;225
DeadpoolWolverine-28775.jpeg;Matthew_Macfadyen;M;80;617;187;509
DeadpoolWolverine-28899.jpeg;Matthew_Macfadyen;M;59;515;122;453
DeadpoolWolverine-29225.jpeg;Matthew_Macfadyen;M;66;487;129;425
DeadpoolWolverine-34393.jpeg;Matthew_Macfadyen;M;66;504;156;414
DeadpoolWolverine-36806.jpeg;Matthew_Macfadyen;M;67;504;118;452
DeadpoolWolverine-38045.jpeg;Matthew_Macfadyen;M;81;597;236;442
DeadpoolWolverine-38787.jpeg;Matthew_Macfadyen;M;76;603;166;514
DeadpoolWolverine-48288.jpeg;Matthew_Macfadyen;M;47;511;202;356
DeadpoolWolverine-53038.jpeg;Hugh_Jackman;M;0;557;260;290
DeadpoolWolverine-58086.jpeg;Aaron_Stanford;M;81;580;236;425
DeadpoolWolverine-62740.jpeg;Hugh_Jackman;M;0;587;260;319
DeadpoolWolverine-63320.jpeg;Hugh_Jackman;M;68;588;291;365
DeadpoolWolverine-69000.jpeg;Emma_Corrin;F;47;580;202;425
DeadpoolWolverine-69173.jpeg;Emma_Corrin;F;81;425;236;270
DeadpoolWolverine-70188.jpeg;Emma_Corrin;F;113;560;188;486
DeadpoolWolverine-70958.jpeg;Hugh_Jackman;M;110;397;239;268
DeadpoolWolverine-73814.jpeg;Emma_Corrin;F;68;538;291;315
DeadpoolWolverine-74817.jpeg;Emma_Corrin;F;96;612;225;483
DeadpoolWolverine-86181.jpeg;Ryan_Reynolds;M;82;454;211;325
DeadpoolWolverine-88676.jpeg;Hugh_Jackman;M;96;554;225;425
DeadpoolWolverine-89148.jpeg;Hugh_Jackman;M;81;442;236;287
DeadpoolWolverine-89526.jpeg;Hugh_Jackman;M;23;676;290;409
DeadpoolWolverine-90424.jpeg;Hugh_Jackman;M;23;676;290;409
DeadpoolWolverine-90936.jpeg;Hugh_Jackman;M;0;646;260;379
