AltesHerzwirdwiederJung-105856.jpeg,[ 29.063786  82.01701   55.51761  120.21568 ],M,-
AltesHerzwirdwiederJung-105856.jpeg,[112.72454   76.49215  133.8262   105.964424],M,-
AltesHerzwirdwiederJung-105856.jpeg,[271.47876 100.37403 294.08582 129.25482],F,-
AltesHerzwirdwiederJung-105856.jpeg,[259.92944   67.721016 275.1376    88.27493 ],F,-
AltesHerzwirdwiederJung-106112.jpeg,-,-,Picture without detected face
AltesHerzwirdwiederJung-10624.jpeg,[172.53154  56.74552 233.53967 130.6365 ],M,-
AltesHerzwirdwiederJung-106240.jpeg,[166.4052    24.446278 210.79175   89.134895],M,-
AltesHerzwirdwiederJung-106368.jpeg,[142.79857  86.32521 163.21698 112.73435],F,-
AltesHerzwirdwiederJung-106624.jpeg,[132.43243   37.590096 178.60983  101.371704],M,-
AltesHerzwirdwiederJung-106752.jpeg,[133.79655   45.502987 179.59232  111.45715 ],M,-
AltesHerzwirdwiederJung-106880.jpeg,[128.66861  49.13037 172.15256 113.72605],M,-
AltesHerzwirdwiederJung-107008.jpeg,[ 85.50081   57.954308 137.03903  118.98152 ],F,-
AltesHerzwirdwiederJung-107008.jpeg,[186.54456  49.5853  235.86876 118.30546],M,-
AltesHerzwirdwiederJung-107136.jpeg,[ 86.36072   59.345467 136.55603  119.03971 ],F,-
AltesHerzwirdwiederJung-107136.jpeg,[179.099     43.628616 222.57312  113.82864 ],F,-
AltesHerzwirdwiederJung-107392.jpeg,[ 85.10926  54.80986 137.18433 116.6716 ],F,-
AltesHerzwirdwiederJung-107392.jpeg,[180.46803   39.005886 222.71892   99.89335 ],M,-
AltesHerzwirdwiederJung-10752.jpeg,[177.79105   62.861916 239.03445  133.75797 ],M,-
AltesHerzwirdwiederJung-107520.jpeg,[ 89.33667   56.232895 139.55724  117.43777 ],F,-
AltesHerzwirdwiederJung-107520.jpeg,[188.3285    43.225826 234.6174   110.02702 ],F,-
AltesHerzwirdwiederJung-107648.jpeg,[134.37573  49.0579  177.6813  110.61591],M,-
AltesHerzwirdwiederJung-107904.jpeg,[249.09871   78.221344 258.62747   93.080246],F,-
AltesHerzwirdwiederJung-108032.jpeg,[ 93.87215  114.752625 126.421486 158.94327 ],F,-
AltesHerzwirdwiederJung-108032.jpeg,[148.05179  96.07137 170.16954 129.05472],F,-
AltesHerzwirdwiederJung-108032.jpeg,[274.93896 113.10488 299.5942  147.62366],M,-
AltesHerzwirdwiederJung-108032.jpeg,[142.18376 168.06058 185.75168 228.21251],F,-
