frame_name;position;guessed_gender;;;
50_50 (2011)-107697.jpeg;[452.78046 148.768   526.352   263.3188 ];M;;;
50_50 (2011)-107697.jpeg;[100.95686  17.75779 208.08092 209.41064];M;;;
50_50 (2011)-107737.jpeg;[208.5712    91.159645 301.99994  225.46423 ];F;;;
50_50 (2011)-107737.jpeg;[397.62402   98.217255 557.6883   290.32227 ];M;;;
50_50 (2011)-107939.jpeg;[445.40802  68.52666 550.5373  245.59317];M;;;
50_50 (2011)-108037.jpeg;[432.71637  64.24991 536.46173 254.31442];M;;;
50_50 (2011)-10807.jpeg;[106.82555  31.09784 217.45532 232.26932];M;;;
50_50 (2011)-108077.jpeg;[175.52803  69.81394 267.58896 211.09125];M;;;
50_50 (2011)-108077.jpeg;[372.13657   75.128044 523.96344  265.66248 ];M;;;
50_50 (2011)-108512.jpeg;[220.10857  76.30477 318.68057 213.01297];M;;;
50_50 (2011)-108512.jpeg;[385.65613  87.63177 546.09515 286.60138];M;;;
50_50 (2011)-108678.jpeg;[190.28586  40.89286 365.5308  302.58322];M;;;
50_50 (2011)-108794.jpeg;[447.2055  132.6783  521.12415 245.23642];M;;;
50_50 (2011)-109073.jpeg;[120.37213  87.89297 226.75035 232.82408];M;;;
50_50 (2011)-109073.jpeg;[308.39893 157.50235 460.6836  314.5971 ];M;;;
50_50 (2011)-109224.jpeg;[476.77728 108.06442 503.84848 142.28714];M;;;
50_50 (2011)-109438.jpeg;[ 71.0013   79.76128 122.62    147.46864];M;;;
50_50 (2011)-109438.jpeg;[347.10068   59.518593 405.04086  137.07504 ];M;;;
50_50 (2011)-109688.jpeg;[408.97818   61.783493 465.4066   140.07402 ];M;;;
50_50 (2011)-109688.jpeg;[113.24251   80.804276 184.60094  174.34137 ];M;;;
50_50 (2011)-109938.jpeg;[373.46487   49.62461  427.32663  124.986374];M;;;
50_50 (2011)-109938.jpeg;[201.02693   49.342358 272.4793   141.294   ];M;;;
50_50 (2011)-110027.jpeg;[315.86035  113.483925 417.99103  262.21735 ];M;;;
50_50 (2011)-11018.jpeg;[256.9296   95.56174 345.77368 270.70752];M;;;
50_50 (2011)-110195.jpeg;[352.56482  78.92647 437.06876 200.77556];M;;;
50_50 (2011)-110261.jpeg;[176.27599   67.166985 227.68445  123.02066 ];M;;;
50_50 (2011)-110553.jpeg;[151.60233   92.223915 218.72913  188.74588 ];M;;;
50_50 (2011)-110948.jpeg;[ 69.80762  35.45874 219.80696 259.1798 ];M;;;
50_50 (2011)-110948.jpeg;[345.47412  87.63365 465.65063 262.66125];M;;;
